#x_rot,y_rot,z_rot,V_homo,V_lumo,Dexter,
20,20,2,0.025659,-0.019188,0.008697,FALSE
20,22,2,0.027565,0.018611,0.009171,FALSE
20,24,2,0.029778,0.01769,0.009577,FALSE
22,0,2,0.017491,0.019246,0.0058,FALSE
22,2,2,0.017603,-0.019261,-0.005843,FALSE
22,4,2,-0.017862,-0.019333,-0.005952,FALSE
22,6,2,0.018274,0.019446,-0.006125,FALSE
22,8,2,-0.018838,-0.019583,-0.006363,FALSE
22,10,2,-0.019554,-0.019729,0.006664,FALSE
22,12,2,-0.020423,0.019861,-0.007026,FALSE
22,14,2,0.021455,-0.019945,-0.007431,FALSE
22,16,2,0.022666,-0.019936,-0.007878,FALSE
22,18,2,-0.024081,0.019783,0.008356,FALSE
22,20,2,-0.02573,0.019424,0.008844,FALSE
22,22,2,0.027651,-0.018788,-0.00931,FALSE
24,0,2,-0.017495,0.019651,-0.00594,FALSE
24,2,2,-0.017617,0.019659,-0.005984,FALSE
24,4,2,-0.017884,-0.019724,-0.006094,FALSE
24,6,2,-0.0183,0.01983,0.006269,FALSE
24,8,2,0.018866,-0.01996,0.006507,FALSE
24,10,2,-0.019582,0.020093,-0.006808,FALSE
24,12,2,0.02045,-0.020206,-0.007168,FALSE
24,14,2,-0.02148,0.020264,0.007574,FALSE
24,16,2,0.022689,-0.020223,0.008016,FALSE
24,18,2,-0.024102,0.02003,0.008486,FALSE
24,20,2,0.025751,0.019621,0.008964,FALSE
24,22,2,-0.027685,0.018923,0.009416,FALSE
26,0,2,0.017455,0.020028,0.006066,FALSE
26,2,2,0.017587,-0.02003,0.006111,FALSE
26,4,2,-0.01786,0.020088,0.006222,FALSE
26,6,2,0.018279,0.020187,0.006396,FALSE
26,8,2,0.018845,0.020307,0.006634,FALSE
26,10,2,-0.019558,-0.020426,0.006932,FALSE
26,12,2,0.020423,-0.020518,-0.007289,FALSE
26,14,2,0.021449,0.020546,0.007693,FALSE
26,16,2,0.022653,-0.020468,0.008124,FALSE
26,18,2,-0.02406,0.020229,0.008582,FALSE
26,20,2,-0.025709,-0.019763,-0.009044,FALSE
26,22,2,-0.027653,-0.018998,-0.009477,FALSE
28,0,2,0.017357,0.020359,-0.006169,FALSE
28,2,2,0.017497,0.020357,0.006215,FALSE
28,4,2,-0.017775,0.020409,-0.006326,FALSE
28,6,2,0.018195,0.0205,-0.0065,FALSE
28,8,2,-0.018759,0.020609,0.006734,FALSE
28,10,2,-0.019468,0.020713,0.007028,FALSE
28,12,2,0.020327,-0.020781,0.007377,FALSE
28,14,2,-0.021345,0.020776,0.007777,FALSE
28,16,2,0.022541,-0.020654,0.008192,FALSE
28,18,2,0.023942,-0.020362,0.00863,FALSE
28,20,2,-0.025587,-0.019834,0.009071,FALSE
30,0,2,0.017181,0.020632,0.006239,FALSE
30,2,2,0.017328,-0.020626,0.006287,FALSE
30,4,2,0.01761,0.020673,0.006397,FALSE
30,6,2,0.018031,-0.020756,0.006568,FALSE
30,8,2,0.018592,-0.020852,-0.006798,FALSE
30,10,2,0.019295,-0.020937,-0.007083,FALSE
30,12,2,0.020145,0.020978,-0.007421,FALSE
30,14,2,-0.021154,-0.020936,0.007807,FALSE
30,16,2,0.022339,0.020767,-0.008208,FALSE
30,18,2,-0.023729,0.020415,0.00862,FALSE
30,20,2,-0.025368,-0.01982,-0.009032,FALSE
32,0,2,0.016908,-0.020828,0.006266,FALSE
32,2,2,-0.01706,0.020822,0.006315,FALSE
32,4,2,0.017347,-0.020863,0.006424,FALSE
32,6,2,0.017768,0.020936,-0.006592,FALSE
32,8,2,-0.018326,0.021019,0.006814,FALSE
32,10,2,-0.019022,0.021083,-0.007089,FALSE
32,12,2,-0.019863,-0.021093,-0.007411,FALSE
