#x, #y, #z, #V1, #V2
080,065,005,-0.0035506,0.0019357
080,070,005,-0.0036307,0.0022480
080,075,005,-0.0034279,-0.0018645
080,080,005,-0.0035129,-0.0023268
080,085,005,-0.0034643,0.0023925
080,090,005,0.0032617,-0.0019488
085,000,005,-0.0020290,-0.0000029
085,005,005,-0.0024568,-0.0008373
085,010,005,-0.0021095,0.0000759
085,015,005,-0.0020401,0.0000910
085,020,005,-0.0025719,0.0007139
085,025,005,0.0024152,0.0002218
085,030,005,0.0024121,0.0002119
085,035,005,-0.0027848,-0.0008692
085,040,005,-0.0028456,-0.0009840
085,045,005,0.0028496,0.0007884
085,050,005,-0.0031844,-0.0015921
085,055,005,-0.0034739,0.0019894
085,060,005,-0.0033962,0.0011389
085,065,005,0.0035834,-0.0019983
085,070,005,-0.0037232,0.0024805
085,075,005,0.0033934,0.0018120
085,080,005,-0.0034309,0.0021550
085,085,005,0.0034710,0.0024024
085,090,005,-0.0033082,-0.0020415
090,000,005,-0.0021140,-0.0000002
090,005,005,-0.0023000,-0.0001060
090,010,005,0.0021548,-0.0000822
090,015,005,0.0021516,0.0001037
090,020,005,-0.0025427,0.0005956
090,025,005,-0.0024143,0.0002240
090,030,005,-0.0024062,0.0002187
090,035,005,0.0028001,-0.0009540
090,040,005,-0.0028594,0.0010586
090,045,005,-0.0028495,0.0008372
090,050,005,0.0031561,-0.0015553
090,055,005,-0.0034715,-0.0020286
090,060,005,-0.0034728,-0.0014766
090,065,005,0.0035944,-0.0020470
090,070,005,-0.0036874,-0.0023350
090,075,005,0.0033945,0.0017426
090,080,005,0.0034897,0.0022623
090,085,005,0.0034796,-0.0024249
090,090,005,0.0032617,0.0019488
000,000,010,0.0000846,0.0001735
000,005,010,-0.0000865,0.0001766
000,010,010,0.0000893,0.0001875
000,015,010,0.0000747,-0.0001980
000,020,010,-0.0000660,-0.0001999
000,025,010,-0.0001238,0.0001857
000,030,010,-0.0001706,0.0001483
000,035,010,0.0006452,0.0000804
000,040,010,-0.0012545,0.0000298
000,045,010,0.0016871,0.0002109
000,050,010,0.0018999,0.0004559
000,055,010,-0.0021060,0.0007116
000,060,010,-0.0025253,0.0010596
000,065,010,-0.0030427,-0.0014693
000,070,010,0.0031112,0.0015552
000,075,010,0.0,0.0
